place,year,name,gender,count
PA,2002,Geovanni,M,5
USA,2006,Destany,F,140
KS,1998,Darren,M,7
CA,1996,Kenyon,M,9
FL,2000,Lyndsey,F,18
GA,1977,Jamie,F,254
AR,2009,Camron,M,10
MD,1969,Eve,F,6
USA,1966,Fredy,M,8
ID,1914,Max,M,8
WI,1993,Marquise,M,5
IL,1975,Paris,F,5
TX,1912,Pearl,F,101
DC,1937,Jacqueline,F,38
KY,1924,Bertie,F,12
TX,1960,Letisia,F,6
AR,2015,Justice,F,11
OK,1938,Annetta,F,9
NV,1988,Meagan,F,8
MS,1987,Shemika,F,8
USA,1881,Beverly,M,11
NJ,1999,Melany,F,12
USA,1923,Sipriano,M,11
USA,2013,Marriah,F,8
DC,1954,Bertram,M,6
USA,1973,Shella,F,20
MS,1965,Mollie,F,5
AZ,1967,Brent,M,38
USA,1998,Donatella,F,9
USA,1918,Earlee,F,10
TX,2016,Veera,F,5
OR,1950,Aaron,M,12
TX,1937,Isabel,F,94
CA,1974,Irwin,M,9
CO,1985,Leandra,F,6
FL,1977,Shannon,M,73
USA,1972,Wyndi,F,10
USA,1983,Carlina,F,21
VA,1997,Christina,F,125
GA,1992,Ashlyn,F,29
USA,1921,Ruthmae,F,6
IN,2012,Tamia,F,8
MI,2000,Bella,F,9
MT,2015,Stella,F,16
AL,1941,Lizzie,F,38
IN,2004,Tru,F,12
OK,1989,Heather,F,222
CO,1930,Colleen,F,15
NY,2006,Greg,M,5
USA,2012,Rhoen,M,6
OH,1920,Ursula,F,14
AZ,1914,Theodore,M,5
RI,2011,Emma,F,61
IL,1996,Stefan,M,17
TN,2013,Melany,F,6
TX,1963,Geronimo,M,12
RI,1986,Kerri,F,15
MD,2012,Natalia,F,26
USA,2002,Ieshia,F,10
USA,2010,Maelle,F,51
USA,1933,Aldonia,F,10
NY,2012,Adrianna,F,170
PA,1987,Priya,F,6
ME,1926,Rolland,M,5
VA,1986,Carter,M,7
VT,1934,Elsie,F,8
NY,2010,Taniyah,F,10
NJ,1963,Caryn,F,8
WA,1939,Eleanor,F,34
USA,1974,Vashon,F,8
WI,1917,Wilbert,M,42
CA,1999,Alexes,M,6
PR,2003,Clara,F,6
AL,1957,Stewart,M,6
MO,1949,Laurel,F,9
PA,2014,Jolene,F,24
OK,1988,Ashleigh,F,20
NY,1974,Mamie,F,7
LA,1930,Rosevelt,M,6
OH,1983,Adrienne,F,112
TX,1950,Tina,F,51
USA,1991,Aleigha,F,26
OK,1950,Diane,F,78
USA,1964,Dorsey,M,39
SD,1945,Jack,M,27
TX,1984,Asha,F,8
ID,1955,Carole,F,5
MA,1929,Roselyn,F,5
OH,1959,Lorene,F,19
USA,2015,Ryia,F,5
USA,1979,Comfort,F,7
MA,1987,Daniela,F,14
NY,2005,Aryeh,M,31
MI,1978,David,F,9
PA,2005,Rosa,F,22
CA,1979,Yazmin,F,8
IL,1938,Christina,F,15
KY,2017,Reese,F,27
USA,1996,Cera,F,63
FL,1943,Kirby,M,6
AR,2014,Addison,F,82
CA,2007,Shlomo,M,5
MO,1978,Marion,M,8
USA,1995,Levy,M,15
TX,1969,Juan,F,6
NC,2013,Monroe,F,8
MS,1942,Lillian,F,64
USA,1934,Juvenal,M,5
AL,1919,Hubert,M,79
FL,1978,Marcella,F,9
NC,2013,Finley,M,28
VA,1993,Eric,M,321
IL,1946,Rosalie,F,62
MD,1974,Deborah,F,76
NY,2005,Jayquan,M,8
GA,1953,Lottie,F,8
USA,1967,Nadia,F,47
OK,1992,Monica,F,45
PA,1966,Bill,M,57
USA,1978,Uri,M,14
OH,1966,Lesley,M,5
NY,1953,Baron,M,5
VA,1919,Daniel,M,63
USA,1986,Inisha,F,7
PA,2014,Ramon,M,8
MN,2015,Loretta,F,7
NC,1943,Byron,M,5
NC,1986,Thaddeus,M,5
PA,2007,Sherri,F,5
IN,1929,Larry,M,37
USA,1954,Delphia,F,53
ID,1962,Renee,F,9
IL,1945,Homer,M,7
USA,2007,Zinnia,F,26
MI,1966,Loren,M,25
USA,1998,Emerald,F,262
MN,2003,Caitlin,F,30
CA,2016,Ender,M,17
OK,1924,Rubie,F,7
HI,1952,Darryl,M,11
OK,1997,Serena,F,15
KS,1955,Maureen,F,20
USA,1972,Walt,M,20
USA,2012,Izaak,M,124
AK,2015,Tristan,M,13
NC,1950,Mervin,M,5
OK,1963,Earl,M,20
GA,1990,Hollis,F,6
USA,2011,Sade,F,106
OH,1997,Katelynn,F,90
USA,1964,Annette,F,6191
USA,2014,Jamier,M,54
LA,1998,Jarod,M,11
NE,1965,Leigh,F,9
USA,1976,Antwanette,F,9
TX,1965,Beth,F,104
USA,2005,Eytan,M,9
USA,1983,Joell,M,6
VA,1996,Lucy,F,18
USA,2005,Alon,M,28
OH,2018,Dorothy,F,22
WV,1955,Donnie,M,39
KS,1923,Leah,F,12
CT,1926,Lucien,M,10
USA,2005,Zakir,M,12
NE,1940,Thomas,M,148
OH,2013,Maura,F,12
MI,2004,Kolten,M,5
PA,1911,Yetta,F,6
CO,1986,Jill,F,27
USA,2012,Mustapha,M,20
KY,1915,Emma,F,181
NY,1971,Filomena,F,14
NH,1955,Louis,M,8
USA,2012,Breck,M,67
TX,1919,Queen,F,12
GA,1973,Tera,F,8
USA,1976,Jaycen,M,7
USA,1990,Wynne,F,9
CA,1987,Megan,F,1666
USA,1979,Waleska,F,14
IL,1998,Javontae,M,5
USA,2002,Tanya,F,464
GA,2008,Owen,M,174
SC,1980,William,M,596
USA,1935,Junior,F,5
AL,1954,Janie,F,43
OH,1958,Marsha,F,210
NY,1991,Joyce,F,46
USA,2000,Edwin,F,8
USA,1991,Phan,F,5
NY,1989,Carmen,F,118
OH,1961,Otis,M,18
USA,2004,Dashawn,M,316
WV,2012,Jayden,F,7
USA,2006,Aris,F,55
USA,1988,Kegan,F,5
PA,1975,Shelly,F,99
NM,2008,Camryn,F,5
WV,1926,Nelda,F,10
CT,1993,Ray,M,5
NJ,2012,Cristopher,M,14
USA,1975,Kipper,M,6
AZ,2018,Leroy,M,6
USA,1897,Nell,F,209
CT,1982,Trevor,M,25
OR,1965,Willard,M,7
NM,1998,Raven,F,11
NJ,2000,Ashwin,M,7
OR,1913,Vincent,M,7
MN,1922,Darleen,F,5
AR,1962,Norma,F,21
CA,2012,Zechariah,M,44
FL,1924,Buster,M,10
TN,1919,Lyda,F,7
IL,2009,Marley,M,11
NH,1922,Dorothy,F,123
USA,1944,Ulysee,M,15
HI,1948,Violet,F,5
IL,1995,Torrey,M,6
USA,2000,Caysey,M,5
NY,1993,Julian,M,198
MI,1986,Chelsie,F,15
USA,2001,Sanam,F,19
AL,2009,Devon,M,12
USA,1991,Shabre,F,12
KS,1972,Tara,F,56
SC,1991,Jarrett,M,15
USA,1991,Devone,M,33
ME,1960,James,M,390
PA,1992,Jamie,F,216
MI,1953,Candee,F,6
WA,1991,Jade,M,8
MI,1989,Iman,F,6
MS,1947,Floyd,M,69
KY,1956,Ira,M,6
NC,2018,Blaire,F,8
NY,2001,Tristen,M,28
GA,2011,Mina,F,6
USA,2009,Issam,M,10
SC,1974,Wallace,M,14
NC,1992,Dequan,M,21
IL,1997,Skyler,F,30
TX,1967,Spencer,M,17
KY,2012,Cyrus,M,9
USA,2010,Celestia,F,6
CT,1995,Giuseppe,M,7
TN,1949,Minnie,F,38
MN,2013,Melanie,F,23
USA,2014,Kayhan,M,5
WV,2007,Avery,F,17
NY,1976,Lisa,F,1473
USA,1997,Dann,M,5
FL,1967,Edith,F,26
VT,1942,Roland,M,21
IL,1975,Jayme,F,15
WA,2016,Ayleen,F,6
USA,2010,Damarco,M,25
NY,1971,Blaine,M,16
OK,1987,Reuben,M,5
CA,1989,Rae,F,14
CA,2010,Akira,M,8
AR,2001,Cecilia,F,12
NY,1999,Ania,F,15
NH,1916,Leonard,M,8
AR,1930,Frances,F,180
OH,2006,Raylynn,F,6
OK,1985,William,F,5
SC,1976,Kimberly,F,374
CA,1955,Nedra,F,11
FL,2012,Jamel,M,14
TX,1924,Pilar,F,16
LA,1932,Elizabeth,F,163
UT,2009,Mikaela,F,9
PA,1966,Homer,M,6
WA,2004,Alissa,F,23
USA,1967,Selena,F,294
VA,2014,Gianna,F,53
TX,2003,Magnus,M,5
AL,2004,Tamya,F,16
TN,1985,Candace,F,104
SD,1920,Patricia,F,12
TX,1963,Lelia,F,6
KY,2014,Lisa,F,5
VA,1985,Janet,F,31
USA,2015,Quartez,M,7
IN,1928,Vivian,F,92
OR,1926,Ann,F,23
IN,1987,Gwendolyn,F,8
USA,1986,Bonner,M,5
LA,1984,Tina,F,48
KS,2010,Aidyn,M,7
NY,1914,Earnest,M,6
SC,1995,Moriah,F,10
HI,1988,Diana,F,8
CA,1961,Marcie,F,43
VA,1913,Beatrice,F,109
USA,2007,Sacred,F,5
IL,1992,Tremayne,M,6
NV,2007,Braxton,M,8
USA,1981,Chontae,F,6
USA,1998,Zoia,F,6
USA,1952,Desi,M,17
OH,1951,Barbra,F,9
OR,1996,Caroline,F,16
PA,1925,Dorthy,F,12
UT,2005,Layla,F,14
USA,1989,Mirissa,F,16
USA,1894,Leila,F,152
USA,1953,Ruby,F,2342
MN,1957,Bill,M,73
USA,2016,Aveleen,F,10
NY,1963,Casey,F,9
TX,2010,Rehan,M,11
CA,1975,Jennifer,F,5321
CA,1954,Kim,M,195
TN,1948,Edwina,F,8
USA,1963,Nancey,F,5
USA,2003,Anthony,M,20145
OR,1959,Stan,M,15
CT,1995,Sophie,F,15
CA,1989,Nicol,F,6
DE,2012,Rocco,M,5
USA,1942,Nat,M,24
TX,1981,Janeth,F,6
KS,2004,Theodore,M,9
NH,1988,Dana,M,13
VA,2015,Journie,F,11
KS,2007,Shawn,M,29
DE,1997,Meredith,F,5
USA,2017,Edlyn,F,13
USA,1920,Leotha,M,6
FL,2016,Antwan,M,16
USA,2002,Troyce,M,7
UT,1984,Dirk,M,5
USA,1980,Edison,M,30
KS,1954,Lorri,F,6
PA,2007,Bryanna,F,24
IL,1916,Vivian,F,203
CA,2009,Mayleen,F,15
ID,1952,Edwin,M,10
MA,1916,Cecile,F,65
MO,1986,Lana,F,13
IN,2013,Shelby,F,35
USA,2010,Mert,M,23
TX,1978,Randell,M,14
USA,1919,Beuna,F,13
MT,1952,Rick,M,20
MT,2008,Mallory,F,6
IA,1989,Adrian,M,7
WA,1930,Gloria,F,105
ME,1981,Ashley,F,15
TX,2006,Yael,M,32
USA,1987,Jahad,M,7
NM,1998,Devon,F,6
USA,1978,Kendale,M,7
USA,2013,Sajan,M,13
USA,1947,Vici,F,8
HI,1948,Aaron,M,7
NM,2003,Nina,F,5
MS,2013,Dillon,M,10
USA,2003,Amogh,M,26
IL,1926,Ella,F,80
AZ,1920,Gregorio,M,5
CA,1914,Elvira,F,20
USA,1983,Dewanna,F,6
CA,2009,Jocabed,F,5
SC,1936,Hubert,M,31
CA,1995,Kasha,F,6
MA,1983,Yolanda,F,9
KY,1983,Scott,M,120
ND,1991,Stephanie,F,62
CA,1999,Atticus,M,9
PA,2009,Blaise,M,22
OR,2005,Bryant,M,8
PA,1925,Joy,F,24
USA,1992,Sharde,F,60
NE,1947,Marylin,F,5
NC,2002,Tamia,F,24
NE,1921,Theda,F,5
PA,2002,Marcus,M,117
DC,2007,Oscar,M,17
USA,1972,Skipper,M,14
KY,2000,Tracy,F,8
OK,1937,Darla,F,26
OH,1961,Maria,F,186
USA,1951,Cinder,F,5
AZ,2002,Jenny,F,13
USA,1955,Debroha,F,6
AR,1949,Henry,M,118
USA,1990,Raynold,M,5
MO,2013,Trent,M,14
NY,1991,Jenifer,F,22
MN,1964,Roman,M,5
NY,1995,Ines,F,10
USA,1964,Antonetta,F,6
USA,1963,Ziva,F,6
NC,1949,Flora,F,39
CA,1973,Jimmie,M,47
KS,1925,Jessie,F,43
SD,1995,Isaac,M,18
KS,1959,Sandy,F,48
UT,2012,Zackary,M,9
NC,1912,Hazel,F,173
CT,1943,Russell,M,69
TX,1971,Chuck,M,26
AR,1924,Lizzie,F,15
USA,1942,Bell,F,14
KY,1934,Wayne,M,94
NE,2010,Brayden,M,70
USA,1993,Chey,M,9
OK,2010,Karla,F,7
AR,1938,Arlie,M,5
OR,1949,Ed,M,6
FL,1978,Susie,F,5
USA,2009,Brecken,M,193
FL,1983,Deidre,F,16
USA,1912,Lars,M,6
USA,1950,Irine,F,14
TX,1981,Virgil,M,22
TN,1917,Roberta,F,35
MO,1959,Charlotte,F,92
CA,1992,Mohamed,M,28
USA,1942,Gustavia,F,5
USA,2012,Osman,M,85
AR,1942,Annetta,F,5
OR,1992,Carlie,F,6
OH,2010,Magnolia,F,5
MS,1957,Leola,F,5
CA,1998,Jenna,F,460
TX,1966,Lizette,F,7
UT,2006,Tyler,M,219
MD,1952,Helene,F,7
USA,1941,Abbott,M,7
CA,1942,Bernice,F,61
KY,1990,Angelina,F,6
MI,1963,Wilma,F,14
NJ,2004,Rocco,M,43
WA,1944,Johanna,F,5
NY,1956,Cinthia,F,6
OK,1941,Kenny,M,14
USA,1992,Debbie,F,184
GA,2017,Liana,F,14
NY,1993,Walid,M,7
NV,2011,Ivan,M,59
USA,2011,Analysa,F,10
MO,2004,Kollin,M,5
OH,2009,Keaton,M,43
MI,1985,Jaimee,F,6
OH,2012,Adeline,F,58
AZ,1982,Ericka,F,10
FL,1996,Gianna,F,31
USA,2014,Oluwatimilehin,M,19
NC,2004,Leyla,F,7
OH,1961,Josie,F,8
CA,1993,Darlene,F,136
WI,1937,Katherine,F,45
MT,2001,Bailey,M,7
MA,2014,Yasmine,F,9
OH,1974,Ezekiel,M,5
MO,1981,Randell,M,6
PR,2005,Jocelyn,F,8
USA,1916,Lea,F,80
USA,1939,Lois,M,52
SC,1977,Samuel,M,98
TX,2010,Brook,F,6
USA,1974,Mischa,F,34
USA,2007,Jamarquez,M,5
GA,2012,Nivea,F,7
KS,2000,Christopher,M,158
VT,2001,Charlotte,F,5
USA,2010,Keeson,M,5
UT,1980,Beth,F,10
CA,2017,Yurani,F,16
MI,2013,Cannon,M,9
WY,1974,Darren,M,5
OK,1924,Clark,M,9
SC,1946,Everette,M,7
USA,2008,Lakel,M,5
KS,1982,Edwin,M,8
PA,1936,Martin,M,190
NY,2011,Aron,M,104
CO,2014,Sawyer,M,75
USA,1932,Hubbard,M,23
ME,1953,Esther,F,8
OK,1927,Max,M,45
AZ,2014,Kaia,F,15
USA,2011,Dashia,F,14
USA,1995,Gianina,F,9
SD,2001,Tori,F,7
CT,1917,Millie,F,10
MD,1992,Hayley,F,42
CA,2004,Omer,M,5
ND,1948,Connie,F,74
SC,1978,Darnell,M,7
NJ,1977,Dominick,M,27
KY,2016,Beau,M,37
VA,1983,Shanita,F,5
USA,1962,Delyn,F,7
USA,1975,Ranier,M,7
KS,1988,Matthew,M,482
CO,2018,Halle,F,10
IL,1941,Dianna,F,17
MA,1944,Rhoda,F,14
NC,2018,Brock,M,9
PA,1957,Danette,F,28
MS,2004,Adrianna,F,24
NY,1975,Gregory,M,884
NY,1975,Nolan,M,14
SC,1963,Alphonso,M,11
ID,1981,Janell,F,7
OR,1989,Henry,M,16
CA,2012,Lissette,F,8
USA,1991,Brently,M,13
TN,1995,Anne,F,18
CA,1963,Shellie,F,58
MI,1954,Dwane,M,6
IN,1922,Neva,F,15
TX,2014,Lilli,F,8
USA,1966,Luise,F,8
IN,2009,Jayce,M,25
KS,2017,Truman,M,8
KS,1936,Perry,M,5
NC,1978,Chelsea,F,6
OK,1968,Jamie,F,77
MS,2013,Kaleb,M,61
USA,1997,Renzo,M,36
USA,1961,Sulema,F,22
GA,1983,Precious,F,10
AK,1988,Kaitlin,F,5
MO,2011,Fisher,M,11
AZ,1967,Forrest,M,5
VA,1915,Marian,F,30
SC,1993,Dante,M,12
IA,1965,Lauri,F,9
KS,1961,Duane,M,57
VA,2015,Ian,M,135
IN,1916,Oren,M,8
AL,1996,Madison,M,10
WA,2000,Melanie,F,33
USA,1987,Nevada,F,17
TX,1970,Valente,M,5
USA,1935,Rudell,M,9
USA,1972,Mariaelena,F,28
OH,1938,Polly,F,9
OK,2010,Major,M,8
PA,1999,Lucille,F,8
UT,1988,Carolyn,F,6
CA,2013,Dimitri,M,11
DC,2008,Andrea,F,16
CA,1993,Josh,M,14
AL,1944,Charley,M,9
PA,1965,Margie,F,22
VT,1981,Tina,F,7
KS,2006,Tucker,M,32
VA,1989,Sana,F,5
MO,1949,Christopher,M,96
NJ,2005,Daphne,F,17
TX,2007,Brelynn,F,5
CO,1994,Caitlin,F,72
CA,1996,Alvina,F,5
LA,1993,Domonique,F,19
IN,1974,Kris,M,7
FL,1992,Alison,F,73
MO,1914,Frankie,F,15
NE,1988,Raymond,M,13
SC,1928,Emmie,F,9
USA,1990,Keyairra,F,6
USA,2000,Dawsyn,M,7
USA,1948,Jeannine,F,345
FL,1923,Phyllis,F,17
DC,1919,Marian,F,16
TX,1951,Albert,M,400
USA,2003,Sultan,M,26
PA,1983,Kathrine,F,8
OK,1924,Lona,F,7
TX,1987,Danette,F,7
USA,2015,Zek,M,7
NY,1984,Latricia,F,10
USA,1998,Adam,M,8357
DC,1979,Colin,M,12
NC,1957,Gail,F,140
TX,1932,Hector,M,76
CO,1968,Kelly,F,181
USA,1952,Willene,F,35
IA,1992,Brady,M,44
NC,1917,Bud,M,7
USA,2011,Akeem,M,80
MD,1955,Peggy,F,102
USA,1985,Jedediah,M,96
CA,1979,Gracie,F,11
MS,2014,April,F,5
NV,2012,Armani,M,9
MO,1945,Deborah,F,24
OH,1961,Dante,M,10
ID,1941,Wanda,F,23
MO,1990,Rusty,M,8
AZ,2008,Marlie,F,11
TN,1991,Angelo,M,5
MA,2004,Lorenzo,M,17
GA,1923,John,M,1531
PA,1994,Sherry,F,11
OR,1984,Miles,M,9
MN,1964,Cynthia,F,268
PR,2001,Marta,F,9
DE,1935,Edna,F,8
MS,1982,Russell,M,42
NV,1995,Krystal,F,11
IA,1947,Tom,M,206
AZ,1966,Ruby,F,12
PA,2005,Kasandra,F,11
WA,1948,Sam,M,18
MA,2016,Elyse,F,11
ME,1917,Nina,F,10
UT,2000,Maren,F,13
USA,1979,Meleah,F,24
IN,2015,Gracelyn,F,47
NM,1980,Melinda,F,27
SC,1957,Hubert,M,13
CA,1989,Valarie,F,25
SC,1942,Corine,F,13
WA,1953,Clifford,M,78
USA,1997,Reannah,F,6
TX,1924,Iola,F,9
USA,1976,Shilo,F,61
MO,1923,Carlene,F,5
MI,1930,Maxine,F,156
USA,1932,Layton,M,28
KY,1922,Margarette,F,10
AL,1983,Janie,F,6
UT,1996,Tayler,F,15
MS,1920,Pearlena,F,6
CA,1969,Francisca,F,39
USA,2005,Swara,F,14
FL,1980,Martin,M,66
KY,1968,Craig,M,77
MO,1926,Annie,F,39
ME,2016,Cooper,M,35
OH,1955,Ellen,F,276
AR,2006,Griffin,M,11
TN,1963,James,F,7
USA,2010,Samari,F,82
WV,1958,Sherman,M,12
NY,1968,Pandora,F,5
SC,1956,Roberta,F,45
VT,1915,Henrietta,F,5
USA,1995,Dezhanae,F,7
VA,2003,Meadow,F,6
CA,1992,Marnee,F,5
WA,1999,Asia,F,15
TX,1915,Beatriz,F,22
NC,2006,Edith,F,12
WA,1975,Max,M,9
LA,2016,Chase,M,79
LA,1954,Austin,M,7
NJ,1958,Roxanne,F,39
RI,1979,Michael,M,391
AK,1973,Tammy,F,23
USA,2006,Yomaira,F,7
WI,1956,Lester,M,27
USA,1920,Harvey,M,2165
USA,1947,Albin,M,39
RI,1957,Barry,M,18
TX,2012,Kyler,F,8
CA,2014,Cooper,F,10
AZ,2015,Steve,M,12
MA,1921,Bertram,M,10
USA,1973,Marshon,M,6
WV,2011,Brian,M,22
NY,1966,Patsy,M,5
MS,1997,Robin,F,14
NC,2016,Daylan,M,5
USA,1959,Dorothea,F,294
TX,1983,Pricilla,F,26
ID,1941,Josephine,F,9
TX,1952,Willa,F,8
LA,2002,Cannon,M,5
KY,1975,Bryan,M,157
CT,1919,Elinor,F,21
CA,2014,Priscila,F,14
USA,2001,Anmol,M,11
NC,1922,Thurman,M,37
LA,1960,Wendell,M,56
SD,1947,Peggy,F,38
SC,1982,Margaret,F,71
PA,1919,Cameron,M,6
IL,1928,Beryl,F,10
FL,1963,Mindy,F,18
MD,1970,Tracy,M,21
USA,2008,Willamina,F,9
DE,1962,Doreen,F,5
USA,2005,Elias,M,2116
PA,1917,Max,M,85
PA,1965,Kevin,M,1701
MT,1935,Dan,M,13
AL,2013,Malachi,M,40
IL,1979,Lionel,M,16
USA,1990,Demisha,F,13
AZ,1959,Peter,M,73
KS,1966,Bill,M,15
MN,1985,Sean,M,142
FL,1950,Penny,F,24
CA,2007,Beckett,M,42
USA,1959,Halina,F,8
OR,2014,Declan,M,41
NJ,2000,Yasmeen,F,8
OH,1929,Eula,F,10
KS,1966,Eugenia,F,6
WA,2014,Kendra,F,32
NY,1912,William,M,1923
USA,1903,Melville,M,14
NC,2018,Hayden,F,44
SC,1996,Maddison,F,9
OR,1994,Fabiola,F,5
USA,1988,Anise,F,9
NY,2001,Josiah,M,122
FL,2015,Quinn,M,38
WI,1962,Hope,F,5
IA,2010,Kaiya,F,6
USA,2003,Melissa,F,3501
WV,1972,Leonard,M,15
SC,2015,Azalea,F,6
GA,1992,Adrienne,F,36
NY,1960,Natividad,F,5
TX,2008,Aislyn,F,7
USA,2012,Ebba,F,5
USA,2018,Rone,M,12
USA,2002,Layden,M,9
KS,1973,Stacy,M,13
MT,2015,Tanner,M,13
AZ,1988,Jorge,M,67
WA,2016,Cove,M,5
VA,1976,Billy,M,77
WV,2008,Shawn,M,15
NC,1975,Angelia,F,32
TX,2011,Landrey,F,5
CA,1929,Willa,F,9
WA,1997,Justine,F,12
NY,2011,Brylee,F,8
KY,1921,Vergil,M,7
CA,2011,Reuben,M,21
USA,1966,Mordechai,M,11
TX,1975,Dudley,M,5
OH,1958,Ronald,F,8
CA,2006,Andrei,M,28
USA,1995,Fadi,M,16
VT,1971,Nancy,F,18
CO,2002,Jenny,F,14
USA,2000,Brittlyn,F,5
CA,2018,Cianna,F,7
USA,1919,Marvel,F,128
WI,1963,Suzanne,F,191
USA,1999,Ishmael,M,134
TX,2011,Sariyah,F,16
TN,1945,Lottie,F,5
KY,2014,Kristian,M,5
UT,1932,Philip,M,7
PA,2008,Haneef,M,8
USA,2005,Timmya,F,7
AR,1919,Nellie,F,71
USA,2007,Imari,M,33
MO,1991,Jeffery,M,41
ME,1956,Annie,F,6
ND,1990,Jeremiah,M,6
AL,1949,Gracie,F,18
TN,1966,Darrin,M,26
LA,1938,Loyce,F,14
UT,2005,Walker,M,18
IN,1958,Candis,F,8
NV,1984,Sara,F,45
LA,1952,Lionel,M,91
VA,1923,Lorenzo,M,9
USA,1978,Benetta,F,9
NJ,1912,Nathan,M,25
USA,1940,Gerald,M,10239
AZ,2001,Angeles,F,6
IL,2008,Harmonee,F,5
MI,1991,Jamie,F,247
USA,1955,Leann,F,375
TX,1968,Shanda,F,11
MS,1937,Wilson,M,19
CA,2013,Ryan,F,58
IN,1971,Deidre,F,7
ND,1925,Francis,M,38
NY,1993,Todd,M,78
USA,1942,Marjie,F,31
VA,1929,Fred,M,150
MA,1940,Marsha,F,31
MI,2008,Jack,M,412
USA,1996,Treavor,M,29
WV,2001,Kiersten,F,8
AL,1960,Latanya,F,5
VT,1961,Mark,M,137
MO,1959,Kris,F,9
WV,2018,Rowen,M,9
NC,1935,Corinne,F,8
USA,1999,Caesar,M,55
AR,1993,Todd,M,9
MD,2013,Kingston,M,32
KY,1995,Justice,M,16
IL,1972,Anthony,M,1105
CA,1964,Aracely,F,7
MD,1937,Earlene,F,5
USA,1935,Orange,M,8
GA,1970,Susanna,F,5
USA,1971,Latrina,F,114
DE,1983,Virginia,F,6
ID,1988,Mathew,M,26
PA,1982,Rachael,F,146
MO,1957,Megan,F,7
USA,1947,Daphne,F,179
USA,1943,Bowman,M,7
IN,2000,Abby,F,43
USA,2011,Xavion,M,87
NC,1993,Noelle,F,6
GA,1966,Suzanne,F,76
NY,2000,Briyana,F,9
USA,2017,Donzell,M,10
CA,1998,Jodie,F,18
USA,2015,Liliana,F,2558
LA,1952,Lucinda,F,14
VT,1953,Joseph,M,39
TX,2013,Alanis,F,9
OR,1997,Kevin,M,104
HI,1923,Mitsuyo,F,5
WA,1974,Raquel,F,9
MO,1963,Delbert,M,18
IL,1987,Chantal,F,15
IL,1985,Jena,F,20
IA,2016,Morgan,F,21
UT,2011,Callie,F,25
PA,1966,Major,M,5
LA,1951,Gerry,M,8
TX,2015,Banks,M,5
ID,1967,Joy,F,9
OH,1990,Drew,M,117
CA,1959,Joshua,M,45
IN,2011,Jaxxon,M,5
NJ,1962,Margery,F,8
TX,1991,Aroldo,M,5
NV,1996,Jennifer,F,86
MI,2013,Chace,M,13
USA,1984,Benjimen,M,5
USA,1898,Vernal,M,7
MN,2002,Lauryn,F,19
USA,2001,Mazal,F,9
NV,2008,Kailey,F,13
TN,2004,Stephanie,F,51
OH,2011,Broden,M,6
NY,1915,Leon,M,249
MO,1913,Alpha,F,16
IL,1994,Garrett,M,142
CA,1980,Elaina,F,23
IL,1945,Heidi,F,8
CA,1991,Adreana,F,11
NY,2016,Yassin,M,11
MO,2006,Aryanna,F,7
NM,2008,Elliana,F,6
GA,2016,Dania,F,7
WI,2005,Jazlynn,F,5
NC,1942,Virgie,F,12
USA,1947,Blan,M,7
AL,1973,Robbie,F,15
OK,1994,Leon,M,8
CA,2015,Ona,F,5
WI,2004,Carrie,F,6
USA,1999,Jissel,F,26
IA,1964,Benjamin,M,27
NY,1936,Lydia,F,52
USA,2000,Kazi,M,7
TX,1910,Joseph,M,106
AZ,2013,Lizbeth,F,8
DE,1956,Johnny,M,8
TX,2018,Juliette,F,196
IL,2011,Journie,F,5
CA,2000,Callum,M,8
KY,1971,Natasha,F,8
NM,2002,Cristina,F,7
CA,1922,Carolina,F,8
KY,1938,Lavern,F,5
USA,1994,Zacory,M,5
NE,1944,Vicki,F,13
PA,2014,Lazarus,M,5
USA,1998,Shena,F,9
MI,1973,Shawn,M,504
USA,1995,Kyri,F,5
AL,1977,Scotty,M,29
USA,1999,Samirah,F,24
CA,1921,Dean,M,22
WA,2018,Trinity,F,26
DC,2006,Kaden,M,8
KS,1937,Thelma,F,26
AL,1960,Darnell,M,9
USA,1976,Raul,M,1111
MI,1925,Raymond,M,600
MD,1971,Trisha,F,12
IN,2016,Camryn,F,15
USA,1989,Quintessa,F,10
WI,1933,Reginald,M,8
AZ,1913,Margaret,F,38
FL,1985,Franchesca,F,7
AR,1930,Thelma,F,126
CA,1976,Emery,M,6
MI,1916,Mason,M,7
NC,1995,Hana,F,5
VA,1974,Kerrie,F,5
USA,1948,Dolphus,M,20
PA,2017,Emily,F,306
IL,1926,Robert,M,4498
NY,1947,Gabrielle,F,11
SC,1992,Brandy,F,35
TX,1946,Ciro,M,7
NY,1951,Kathleen,M,5
USA,1919,Caroline,M,5
IL,2008,Barbara,F,7
CA,1998,Marsela,F,5
USA,2010,Valeri,F,15
USA,1960,Zelda,F,136
USA,1988,Lekesha,F,26
USA,2007,Sira,F,5
ID,2018,Cody,M,8
CA,1971,Miquel,M,5
PR,2015,Veronica,F,7
TX,2004,Ramiyah,F,9
USA,2010,Kyndall,M,10
KY,2005,Branson,M,11
CT,1948,Renee,F,13
VA,1931,Pearline,F,8
USA,1999,Eris,M,5
NJ,2005,Emiliano,M,7
SD,1927,Gloria,F,24
IL,1938,Cletus,M,6
WI,1982,Nancy,F,28
KY,2010,Mara,F,5
USA,1921,Clide,M,22
NJ,1954,Tracy,F,13
SC,1929,Susan,F,24
LA,2014,Kennadi,F,5
